android-tools 35.0.2-26.1
base 3-3
bibata-cursor-theme-bin 2.0.7-1
bluez-utils 5.86-6.1
bottom 0.12.3-2.1
cachyos-fish-config 15-1
cachyos-gaming-meta 1:1.0.0-7
cachyos-hello 0.24.0-1
cachyos-hooks 2026.02.05-1
cachyos-kernel-manager 1.18.1-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 23-2
cachyos-settings 1:1.3.5-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
carapace-bin 1.6.6-1
chromium 149.0.7827.53-1.1
claude-code 2.1.170-1
cmus 2.12.0-5.1
cursor-bin 3.5.17-1
diskonaut 0.11.0-3.1
downgrade 12.0.2-1
duf 0.9.1-1.1
dust 1.2.4-2.1
efitools 1.9.2-7.1
fd 10.4.2-2.1
figlet 2.2.5-6.1
firefox 151.0.3-1
fwupd 2.1.4-2.1
ghostty 1.3.1-2.2
google-cloud-cli 570.0.0-1
helix-git 25.07.r670.g0805bc853-1
howdy-git r592.d3ab993-1
intel-lpmd-git 0.1.0.r3.gecf1de5-1
intel-ucode 20260512-1
libva-nvidia-driver 0.0.17-1.1
linux-cachyos-headers 7.0.11-1
linux-cachyos-nvidia-open 7.0.11-1
linux-enable-ir-emitter 6.1.2-1
lsscsi 0.32-2.2
lua-language-server 3.18.2-1.1
man-pages 6.18-1
mpv 1:0.41.0-3.1
networkmanager-openvpn 1.12.5-1.1
niri-git 25.11.r157.g4d21489-1
nix 2.34.7-1.1
noctalia-git 5.0.0.r2720.gbd74c3461-1
noto-color-emoji-fontconfig 1.0.0-2
ntp 4.2.8.p18-6
nushell 0.113.1-1.1
nvidia-prime 1.0-6
nvme-cli 2.16-2
nvtop 3.3.2-1.1
nwg-displays 0.4.3-1
nwg-look 1.1.1-3.1
paru 2.1.0-3
picard 2.13.3-3.1
playerctl 2.4.1-5.1
powerstat 0.04.05-1
prismlauncher 11.0.2-1.1
pulsemixer 1.5.1-8
qt6ct 0.11-7.1
refind-btrfs 0.6.5-2
reflector 2023-5
satty 0.20.1-2.2
sbctl 0.18-1.1
slang-server-bin 0.2.5-1
sof-firmware 2025.12.2-1
starship 1.25.1-1
syncthing 2.1.1-1.1
taskwarrior-tui 0.27.0-1
teams-for-linux-bin 2.7.13-1
termdown 1.18.0-7
tinymist 1:0.14.18-1.1
tokei 14.0.0-1.1
tor-browser-bin 15.0.9-1
tzupdate 3.1.0-1
ufw 0.36.2-7
unrar 1:7.2.6-1.1
uv 0.11.19-1.1
verilator 5.048-1.1
vesktop 1.6.5-1
vicinae-bin 0.21.2-1
vimiv 0.9.1-10.1
wev 1.1.0-1.1
xkcdpass 1.30.0-1
xwayland-satellite 0.8.1-2
ydotool 1.0.4-2.1
zoxide 0.9.9-2.1
